participant_id	age	sex	PC_run1	PC_run2	PC_run3	PC_run4	mean_PC	RT_run1	RT_run2	RT_run3	RT_run4	mean_RT	miss_ans_run1	miss_ans_run2	miss_ans_run3	miss_ans_run4	mean_miss_ans	PC_anne1	PC_anne2	PC_anne3	PC_anne4	mean_PC_anne	PC_betty1	PC_betty2	PC_betty3	PC_betty4	mean_PC_betty	PC_chloe1	PC_chloe2	PC_chloe3	PC_chloe4	mean_PC_chloe	RT_anne1	RT_anne2	RT_anne3	RT_anne4	mean_RT_anne	RT_betty1	RT_betty2	RT_betty3	RT_betty4	mean_RT_betty	RT_chloe1	RT_chloe2	RT_chloe3	RT_chloe4	mean_RT_chloe	PC_voices_lab	PC_bells_lab	difference_PC	d'_voices	d'_bells	rt_voices	rt_bells
sub-03	21	M	55,56	55,56	52,78	52,78	54,17	0,9	1,05	1,01	1,15	1,03	5,56	2,78	5,56	11,11	6,25	83,33	91,67	83,33	91,67	87,5	41,67	41,67	33,33	33,33	37,5	41,67	33,33	41,67	33,33	37,5	0,99	0,96	0,7	1,01	0,91	1,03	1,07	1,41	1,17	1,17	0,68	1,13	0,93	1,27	1	81,25	87,5	-6,25	1,85	2,3	1,48	1,65
sub-04	22	F	72,22	69,44	83,33	80,56	76,39	0,86	1,1	1,35	1,43	1,18	0	0	0	0	0	66,67	58,33	83,33	100	77,08	75	75	83,33	66,67	56,25	75	75	83,33	75	77,08	0,92	1,11	1,37	1,21	1,15	0,88	1,11	1,26	1,48	1,18	0,79	1,07	1,42	1,59	1,22	81,25	100	-18,75	1,82	3,07	3,33	3,7
sub-05	26	M	33,33	33,33	33,33	27,78	31,94	1,22	1,16	1,3	1,12	1,2	38,89	44,44	36,11	50	42,36	16,67	33,33	33,33	33,33	29,17	41,67	41,67	33,33	33,33	56,25	41,67	25	33,33	16,67	29,17	0,94	0,84	1,05	1,18	1,01	1,6	1,42	1,13	1,33	1,37	1,1	1,23	1,71	0,86	1,22	93,75	93,75	0	2,68	2,68	1,76	2,22
sub-06	21	M	58,33	80,56	69,44	86,11	73,61	1,5	1,58	1,05	1,45	1,39	0	2,78	16,67	5,56	6,25	66,67	91,67	83,33	91,67	83,33	50	75	75	75	53,13	58,33	75	50	91,67	68,75	1,32	0,95	0,62	1,18	1,02	1,45	1,87	1,32	1,28	1,48	1,74	1,91	1,21	1,89	1,69	93,75	87,5	6,25	2,68	2,3	2,51	1,97
sub-07	22	F	72,22	80,56	72,22	80,56	76,39	0,85	1,1	1,16	1,23	1,08	0	0	2,78	0	0,69	66,67	75	66,67	75	70,83	83,33	91,67	83,33	91,67	78,13	66,67	75	66,67	75	70,83	0,75	1,3	0,97	1,16	1,04	0,86	0,89	1,37	1,28	1,1	0,96	1,1	1,13	1,25	1,11	93,75	100	-6,25	2,68	3,07	2,96	2,53
sub-08	36	F	44,44	55,56	41,67	63,89	51,39	1,53	1,35	1,25	1,41	1,39	8,33	13,89	13,89	11,11	11,81	33,33	50	41,67	50	43,75	50	58,33	25	75	69,79	50	58,33	58,33	66,67	58,33	1,48	1,29	1,24	1,25	1,31	1,72	1,69	1,23	1,58	1,56	1,4	1,07	1,28	1,4	1,29	62,5	93,75	-31,25	0,67	2,68	1,64	1,96
sub-09	30	M	66,67	72,22	72,22	77,78	72,22	1	1,09	1,3	1,17	1,14	13,89	16,67	13,89	8,33	13,19	75	66,67	50	66,67	64,58	75	91,67	83,33	100	69,79	50	58,33	83,33	66,67	64,58	0,62	0,73	0,73	1,08	0,79	1,13	1,71	1,34	1,09	1,32	1,25	0,81	1,84	1,33	1,31	81,25	100	-18,75	1,82	3,07	1,5	1,95
sub-10	25	F	66,67	52,78	63,89	50	58,33	1,26	1,24	1,44	1,54	1,37	25	22,22	22,22	13,89	20,83	58,33	25	50	50	45,83	83,33	91,67	66,67	58,33	81,25	58,33	41,67	75	41,67	54,17	0,93	0,81	1,7	1,58	1,25	1,49	1,4	1,17	1,87	1,48	1,37	1,51	1,47	1,17	1,38	100	100	0	3,07	3,07	2,56	2,3
sub-11	21	F	77,78	63,89	72,22	77,78	72,92	0,87	0,83	0,78	0,71	0,8	0	0	0	0	0	83,33	58,33	83,33	83,33	77,08	75	75	75	75	75	75	58,33	58,33	75	66,67	0,7	0,73	0,61	0,69	0,68	1,06	0,98	0,93	0,81	0,94	0,86	0,79	0,79	0,62	0,77	100	87,5	12,5	3,07	2,21	1,84	2,12
sub-12	26	F	86,11	86,11	77,78	83,33	83,33	1,16	1,23	0,98	1,27	1,16	8,33	11,11	11,11	0	7,64	83,33	91,67	91,67	100	91,67	91,67	91,67	91,67	91,67	83,33	83,33	75	50	58,33	66,67	1,01	0,87	0,62	0,87	0,84	1,06	1,27	1,37	1,45	1,29	1,42	1,55	0,95	1,49	1,35	87,5	87,5	0	2,21	2,3	1,88	1,91
